Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Alabama,2,0,1,0.8923076923,0.8858540563,0.8171858952,0.5396655994,0.474025974,0.5070422535,0.5144230769,0.6696428571,0.7944250871,0.7867383513,0.75625,0.7019230769,0.6144578313,0.6597222222,1,0.9,0.5054945055,0.186440678,0.2291861553,0.5506329114,0.376,0.5829145729,0.5859030837
2,Arizona,0,0,2,0.8639053254,0.8373420302,0.8343033208,0.4389896834,0.7857142857,0.8169014085,0.4326923077,0.7619047619,0.5888501742,0.7365591398,0.75,0.6009615385,0.8554216867,0.8819444444,0.7092198582,0.9066666667,0.5164835165,0.2796610169,0.3507951356,0.8892405063,0.664,0.5427135678,0.7885462555
3,Baylor,1,0,3,0.7029585799,0.9331430901,0.6453269428,0.4834578442,0.4675324675,0.7464788732,0.625,0.7589285714,0.4146341463,0.6451612903,0.58125,0.7740384615,0.6325301205,0.7013888889,0.4184397163,0.5733333333,0.5934065934,0.4915254237,0.5584658559,0.6075949367,0.464,0.6381909548,0.6299559471
4,Virginia,0,0,4,0.8130177515,0.7276803914,0.3252310852,0.8392031306,0.4805194805,0.6126760563,0.3942307692,0.6101190476,0.6550522648,0.6792114695,0.48125,0.3317307692,0.5240963855,0.5347222222,0.6170212766,0.2066666667,0.956043956,0.5,0.7979420019,0.9050632911,1,0.4572864322,0.7488986784
5,SDSU,5,0,5,0.8568047337,0.822258459,0.4707292023,0.7196727143,0.4480519481,0.6126760563,0.5432692308,0.5833333333,0.7038327526,0.688172043,0.6875,0.6490384615,0.4879518072,0.5277777778,0.6524822695,0.4866666667,0.6263736264,0.5084745763,0.582787652,0.496835443,0.432,0.4824120603,0.6784140969
6,Creighton,3,0,6,0.6414201183,0.8666938443,0.6275248203,0.5464247599,0.5974025974,0.661971831,0.7115384615,0.6458333333,0.5958188153,0.6702508961,0.65,0.3317307692,0.7048192771,0.7361111111,0.7446808511,0.6733333333,0.6593406593,0.1016949153,0.2937324602,0.6518987342,0.616,0.3266331658,0.9735682819
7,Missouri,1,0,7,0.749112426,0.7745617611,0.7247517973,0.3294201352,0.6363636364,0.6690140845,0.6682692308,0.7291666667,0.3344947735,0.5860215054,0.15625,0.3942307692,0.7530120482,0.7916666667,0.2907801418,0.7266666667,0.7252747253,0.7711864407,1,0.6202531646,0.664,0.3618090452,0.4449339207
8,Maryland,1,0,8,0.6414201183,0.7998369344,0.4125299555,0.7360369975,0.4805194805,0.4507042254,0.5769230769,0.619047619,0.6097560976,0.6612903226,0.58125,0.5576923077,0.5120481928,0.5555555556,0.6453900709,0.3466666667,0.7362637363,0.3983050847,0.5799812909,0.2879746835,0.4,0.4974874372,0.718061674
9,W Virginia,0,0,9,0.5704142012,0.9368120669,0.6158849709,0.4557097118,0.5064935065,0.5774647887,0.5865384615,0.625,0.4773519164,0.5967741935,0.60625,0.7259615385,0.5481927711,0.625,0.3971631206,0.7066666667,0.5274725275,0.5847457627,0.6033676333,0.4240506329,0.336,0.7185929648,0.3788546256
10,Utah State,0,0,10,0.7940828402,0.7749694252,0.6932557343,0.5026680896,0.6818181818,0.8943661972,0.6971153846,0.7529761905,0.5087108014,0.6899641577,0.6625,0.4182692308,0.8253012048,0.9027777778,0.6028368794,0.66,0.5824175824,0.2288135593,0.3564078578,0.7974683544,0.632,0.5829145729,0.6123348018
11,NC State,0,0,11,0.7136094675,0.6909906237,0.6802464909,0.4642475987,0.5064935065,0.5845070423,0.4855769231,0.7053571429,0.487804878,0.6505376344,0.55625,0.5817307692,0.5542168675,0.5277777778,0.475177305,0.7066666667,1,0.4491525424,0.8072965388,0.246835443,0.616,0.1557788945,0.5066079295
12,Charleston,0,0,12,0.9680473373,0.2939258051,0.7695994522,0.5866239772,0.4090909091,0.4788732394,0.5865384615,0.7589285714,0.7142857143,0.7992831541,0.7625,0.8173076923,0.5542168675,0.5972222222,0.695035461,0.7666666667,0.7362637363,0.4745762712,0.6117867166,0.3987341772,0.44,0.4623115578,0.872246696
13,Furman,1,0,13,0.8284023669,0.3187933143,0.8141047586,0.4493062967,0.7012987013,0.5704225352,0.5865384615,0.8541666667,0.4843205575,0.7383512545,0.59375,0.5240384615,0.8313253012,0.875,0.4822695035,0.6933333333,0.7582417582,0.4322033898,0.6482694107,0.7025316456,0.744,0.5125628141,0.6784140969
14,UC Santa Bar,0,0,14,0.8284023669,0.3897268651,0.4748373845,0.6481679118,0.7662337662,0.6126760563,0.5240384615,0.6517857143,0.5331010453,0.6415770609,0.575,0.4038461538,0.7168674699,0.7569444444,0.5177304965,0.42,0.6043956044,0.4406779661,0.5519176801,0.5189873418,0.528,0.5125628141,0.6563876652
15,Princeton,2,0,15,0.7337278107,0.3591520587,0.6080109552,0.5393098541,0.5454545455,0.5422535211,0.4326923077,0.6011904762,0.6097560976,0.6505376344,0.7625,0.5192307692,0.6325301205,0.6319444444,0.7092198582,0.68,0.5604395604,0.1525423729,0.2404115996,0.4082278481,0.376,0.3618090452,0.7400881057
17,Texas AM-CC,0,0,16,0.7136094675,0.1655116184,0.7559055118,0.4016364283,0.5324675325,0.7183098592,0.8221153846,0.7023809524,0.5052264808,0.6577060932,0.64375,0.7163461538,0.5722891566,0.6666666667,0.3971631206,0.82,0.5934065934,0.6271186441,0.6763330215,0.5981012658,0.488,0.608040201,0.5154185022
18,Purdue,0,1,1,0.8923076923,0.8422339992,0.5121533721,0.7531127713,0.5649350649,0.4577464789,0.6105769231,0.7708333333,0.6167247387,0.7562724014,1,0.9567307692,0.5903614458,0.6666666667,0.7588652482,0.3266666667,0.6923076923,0.1779661017,0.3451824135,0.7405063291,0.64,0.6432160804,0.9955947137
19,Marquette,1,1,2,0.8639053254,0.8010599266,0.7404998288,0.4713625044,0.7272727273,0.5774647887,0.4903846154,0.7589285714,0.5226480836,0.7007168459,0.3125,0.3798076923,0.8072289157,0.7986111111,0.4609929078,0.6866666667,0.8021978022,0.6949152542,0.9476145931,0.7025316456,0.832,0.2211055276,0.7136563877
20,Kansas St,3,1,3,0.7396449704,0.8789237668,0.58849709,0.5268587691,0.5064935065,0.5211267606,0.6298076923,0.5148809524,0.6585365854,0.623655914,0.58125,0.6009615385,0.5361445783,0.6111111111,0.6453900709,0.76,0.3736263736,0.5508474576,0.4911131899,0.8481012658,0.456,0.6331658291,0.4889867841
21,Tennessee,2,1,4,0.7136094675,0.8100285365,0.4614857925,0.9181785841,0.4025974026,0.4436619718,0.4567307692,0.6011904762,0.9651567944,0.8333333333,0.7875,0.875,0.4638554217,0.4652777778,0.9290780142,0.46,0.6153846154,0.6610169492,0.6997193639,0.917721519,0.64,0.351758794,0.4977973568
22,Duke,1,1,5,0.7940828402,0.764370159,0.4868195823,0.7079331199,0.4935064935,0.4929577465,0.7259615385,0.6607142857,0.6271777003,0.6953405018,0.84375,0.8461538462,0.5120481928,0.5625,0.7446808511,0.4266666667,0.5934065934,0.2627118644,0.3479887746,0.6234177215,0.504,0.432160804,0.7973568282
23,Kentucky,1,1,6,0.6650887574,0.812474521,0.5734337556,0.5624332978,0.5454545455,0.6197183099,0.4038461538,0.7023809524,0.487804878,0.6487455197,0.875,0.9663461538,0.5180722892,0.5138888889,0.5602836879,0.5,0.7032967033,0.2796610169,0.4115996258,0.585443038,0.568,0.3869346734,0.6255506608
24,Michigan St,2,1,7,0.6142011834,0.9355890746,0.4080794249,0.5852009961,0.487012987,0.9084507042,0.6875,0.5416666667,0.4599303136,0.5376344086,0.61875,0.4230769231,0.5421686747,0.5486111111,0.6312056738,0.4066666667,0.6923076923,0.1186440678,0.3386342376,0.6455696203,0.608,0.2311557789,0.7004405286
25,Memphis,0,1,8,0.7857988166,0.7484712597,0.7404998288,0.4158662398,0.6818181818,0.6126760563,0.6201923077,0.619047619,0.5923344948,0.6523297491,0.525,0.5961538462,0.6325301205,0.6944444444,0.6241134752,0.9,0.5054945055,0.5593220339,0.6286248831,0.5632911392,0.456,0.5879396985,0.4757709251
26,Florida Atl.,4,1,9,0.9680473373,0.4985731757,0.7011297501,0.6712913554,0.6298701299,0.7464788732,0.4663461538,0.7619047619,0.7491289199,0.8189964158,0.74375,0.5817307692,0.7710843373,0.7638888889,0.7730496454,0.6466666667,0.6703296703,0.406779661,0.5463049579,0.4620253165,0.512,0.2964824121,0.731277533
27,USC,0,1,10,0.7029585799,0.8132898492,0.4953782951,0.5901814301,0.5324675325,0.5563380282,0.6009615385,0.5416666667,0.5958188153,0.6075268817,0.45625,0.5,0.5240963855,0.5763888889,0.8014184397,0.6066666667,0.5384615385,0.3305084746,0.4471468662,0.4588607595,0.384,0.5075376884,0.6651982379
28,Providence,0,1,11,0.6650887574,0.7264573991,0.6771653543,0.4457488438,0.5454545455,0.5985915493,0.6057692308,0.7232142857,0.4425087108,0.6379928315,0.76875,0.8028846154,0.5361445783,0.6041666667,0.5106382979,0.6066666667,0.7142857143,0.2881355932,0.4443405051,0.5126582278,0.52,0.6180904523,0.7709251101
29,Oral Roberts,0,1,12,0.9325443787,0.3587443946,0.8877096885,0.4880825329,0.6753246753,0.7253521127,0.7548076923,0.8839285714,0.5993031359,0.8154121864,0.5,0.3269230769,0.8313253012,0.8541666667,0.6808510638,0.8266666667,1,0.3559322034,0.7689429373,0.3575949367,0.784,0.2110552764,0.9603524229
30,Louisiana,0,1,13,0.8213017751,0.4402772116,0.6751112633,0.4987548915,0.7077922078,0.7887323944,0.3125,0.7261904762,0.5087108014,0.6738351254,0.78125,0.7596153846,0.7168674699,0.7152777778,0.5460992908,0.6666666667,0.6263736264,0.3644067797,0.472404116,0.4493670886,0.472,0.5175879397,0.6035242291
31,Montana St,0,1,14,0.7585798817,0.408479413,0.5443341321,0.6125933831,0.6103896104,0.5070422535,0.6730769231,0.6160714286,0.6132404181,0.6612903226,0.6,0.3846153846,0.6024096386,0.7291666667,0.5177304965,0.5733333333,0.6043956044,0.5423728814,0.6286248831,0.3924050633,0.368,0.9095477387,0.449339207
32,Vermont,0,1,15,0.7136094675,0.3277619242,0.5039370079,0.6129491284,0.6493506494,0.6549295775,0.375,0.6607142857,0.5087108014,0.6344086022,0.425,0.09134615385,0.7590361446,0.7361111111,0.4539007092,0.42,0.8791208791,0.3644067797,0.6623012161,0.4462025316,0.688,0.2462311558,0.7577092511
33,Fairleigh D.,1,1,16,0.550295858,0,0.6679219445,0.3176805407,0.5194805195,0.5633802817,0.6105769231,0.6636904762,0.3135888502,0.5358422939,0.5125,0.6586538462,0.5662650602,0.5694444444,0.134751773,0.7066666667,0.7472527473,0.686440678,0.8297474275,0.4810126582,0.56,0.2512562814,0.4845814978
35,Houston,2,2,1,1,0.658785161,0.5826771654,0.992529349,0.5909090909,0.5774647887,0.4903846154,0.8482142857,1,1,0.80625,0.8701923077,0.6385542169,0.6319444444,0.9787234043,0.3666666667,0.8791208791,0.6610169492,0.8606173994,0.5253164557,0.72,0.256281407,0.5242290749
36,Texas,3,2,2,0.7940828402,0.9209131675,0.6689489901,0.5844895055,0.6038961039,0.514084507,0.6394230769,0.6458333333,0.7038327526,0.7258064516,0.45,0.4663461538,0.6084337349,0.6527777778,0.6028368794,0.74,0.6923076923,0.7118644068,0.868101029,0.6297468354,0.624,0.432160804,0.5110132159
37,Xavier,2,2,3,0.7585798817,0.8475336323,0.7908250599,0.3479188901,0.7727272727,0.9084507042,0.4567307692,0.7470238095,0.4285714286,0.6451612903,0.7375,0.6346153846,0.7831325301,0.7847222222,0.4893617021,0.8333333333,0.6043956044,0.2711864407,0.3807296539,0.8417721519,0.744,0.3467336683,0.7444933921
38,Indiana,1,2,4,0.6781065089,0.8475336323,0.57240671,0.5474919957,0.7402597403,0.7323943662,0.4471153846,0.6369047619,0.5365853659,0.6344086022,0.58125,0.4519230769,0.6746987952,0.6736111111,0.6808510638,0.6133333333,0.6483516484,0.2288135593,0.4106641721,0.5379746835,0.584,0.3165829146,0.6563876652
39,Miami (FL),4,2,5,0.8130177515,0.6881369751,0.7223553578,0.4165777303,0.7207792208,0.7183098592,0.7548076923,0.8005952381,0.3763066202,0.6505376344,0.60625,0.6442307692,0.7469879518,0.7986111111,0.4397163121,0.6466666667,0.7142857143,0.3644067797,0.561272217,0.4556962025,0.576,0.4120603015,0.8149779736
40,Iowa St,0,2,6,0.5917159763,0.9196901753,0.3467990414,0.750266809,0.487012987,0.514084507,0.2644230769,0.4583333333,0.7108013937,0.6164874552,0.64375,0.7355769231,0.4879518072,0.4375,0.4326241135,0.4333333333,0.4285714286,0.9152542373,0.7745556595,0.5601265823,0.376,0.1809045226,0.3392070485
41,Texas A&M,0,2,7,0.7857988166,0.7745617611,0.5217391304,0.6442547136,0.4220779221,0.4295774648,0.6634615385,0.6398809524,0.6027874564,0.6702508961,0.725,0.8653846154,0.421686747,0.5694444444,0.6170212766,0.5333333333,0.5714285714,0.5762711864,0.625818522,0.5094936709,0.352,1,0.5154185022
42,Iowa,0,2,8,0.5917159763,0.8369343661,0.7500855871,0.3354678051,0.512987013,0.5422535211,0.5769230769,0.7767857143,0.3240418118,0.6093189964,0.55625,0.6538461538,0.5602409639,0.5902777778,0.3191489362,0.6866666667,0.967032967,0.4152542373,0.7399438728,0.6613924051,0.856,0.4472361809,0.8370044053
43,Auburn,1,2,9,0.6284023669,0.855686914,0.493324204,0.5969405905,0.4285714286,0.338028169,0.3990384615,0.5238095238,0.6202090592,0.6093189964,0.53125,0.7067307692,0.421686747,0.4375,0.7234042553,0.6266666667,0.5934065934,0.4322033898,0.5294667914,0.5632911392,0.432,0.4924623116,0.3920704846
44,Penn State,1,2,10,0.6544378698,0.8279657562,0.4868195823,0.547847741,0.5844155844,0.8521126761,0.5384615385,0.6726190476,0.3763066202,0.5734767025,0.38125,0.01442307692,0.7891566265,0.75,0.5815602837,0.3466666667,0.9120879121,0.01694915254,0.4200187091,0.4810126582,0.76,0.02010050251,0.8105726872
45,Pitt,1,2,11,0.6781065089,0.6530778638,0.6097226977,0.4752757026,0.5064935065,0.661971831,0.6826923077,0.7113095238,0.4041811847,0.6111111111,0.5875,0.5673076923,0.6385542169,0.6944444444,0.5602836879,0.5866666667,0.7142857143,0.2542372881,0.4667913938,0.5537974684,0.552,0.4773869347,0.6519823789
47,Drake,0,2,12,0.8284023669,0.4321239299,0.5823348168,0.7090003557,0.6168831169,0.7535211268,0.7211538462,0.6636904762,0.7526132404,0.7616487455,0.63125,0.2980769231,0.6807228916,0.7152777778,0.7517730496,0.5133333333,0.7802197802,0.3644067797,0.6014967259,0.3987341772,0.56,0.3366834171,0.7973568282
48,Kent State,0,2,13,0.8639053254,0.4251936404,0.6268401232,0.6449662042,0.512987013,0.4929577465,0.5096153846,0.6428571429,0.7386759582,0.7419354839,0.5125,0.5817307692,0.5602409639,0.5763888889,0.6595744681,0.7,0.7362637363,0.7118644068,0.8737137512,0.246835443,0.384,0.3819095477,0.4185022026
49,Kennesaw St,0,2,14,0.7940828402,0.3709743172,0.5802807258,0.5311277126,0.5649350649,0.7183098592,0.2067307692,0.5654761905,0.6027874564,0.6254480287,0.5375,0.4519230769,0.6506024096,0.625,0.5390070922,0.6933333333,0.5714285714,0.5593220339,0.6370439663,0.5379746835,0.448,0.4472361809,0.550660793
50,Colgate,0,2,15,0.7940828402,0.2075010192,0.6942827799,0.5289932408,0.9025974026,1,0.1826923077,0.8125,0.487804878,0.7150537634,0.6,0.3269230769,0.9578313253,0.8958333333,0.475177305,0.6,0.8131868132,0.3898305085,0.6482694107,0.7848101266,0.976,0.1407035176,1
51,N Kentucky,0,2,16,0.6544378698,0.3379535263,0.3399520712,0.7214514408,0.3701298701,0.5915492958,0.3509615385,0.5238095238,0.5853658537,0.5913978495,0.43125,0.6442307692,0.4698795181,0.4305555556,0.4609929078,0.2866666667,0.6263736264,0.7966101695,0.8437792329,0.5759493671,0.472,0.2261306533,0.6696035242
52,Kansas,1,3,1,0.8284023669,1,0.5693255734,0.5656350053,0.5909090909,0.5492957746,0.4711538462,0.5476190476,0.6515679443,0.6397849462,0.53125,0.4711538462,0.5903614458,0.5902777778,0.6737588652,0.72,0.5934065934,0.5169491525,0.6286248831,0.7056962025,0.584,0.3115577889,0.6123348018
53,UCLA,2,3,2,0.8982248521,0.8438646555,0.5340636768,0.8377801494,0.538961039,0.5704225352,0.4951923077,0.6547619048,0.8850174216,0.8243727599,0.65,0.7211538462,0.5,0.4791666667,0.7446808511,0.5333333333,0.8571428571,0.7881355932,0.9728718428,0.4335443038,0.624,0.2261306533,0.7577092511
54,Gonzaga,3,3,3,0.8923076923,0.7847533632,1,0.388829598,1,0.8521126761,0.3942307692,1,0.4843205575,0.8261648746,0.71875,0.6105769231,1,1,0.4397163121,0.8333333333,0.8681318681,0.4745762712,0.7586529467,0.4303797468,0.776,0.4271356784,0.7577092511
55,UConn,6,3,4,0.7763313609,0.7814920506,0.697706265,0.6623977232,0.5519480519,0.6549295775,0.6298076923,0.7976190476,0.6968641115,0.8136200717,0.9,1,0.656626506,0.7013888889,0.6879432624,0.6266666667,0.5494505495,0.4745762712,0.4789522919,0.8037974684,0.592,0.432160804,0.3436123348
56,St Mary's,1,3,5,0.8213017751,0.769262128,0.4467648066,0.8438278193,0.538961039,0.7464788732,0.3557692308,0.6785714286,0.7630662021,0.7759856631,0.83125,0.7115384615,0.6084337349,0.5902777778,0.6808510638,0.3,0.7252747253,0.4915254237,0.6061739944,0.3670886076,0.464,0.3266331658,0.5947136564
57,TCU,1,3,6,0.6414201183,0.8438646555,0.5775419377,0.5667022412,0.5324675325,0.2816901408,0.3942307692,0.5327380952,0.6794425087,0.6451612903,0.53125,0.6634615385,0.4578313253,0.4583333333,0.6453900709,0.7666666667,0.6593406593,0.6355932203,0.7670720299,0.6772151899,0.584,0.4371859296,0.6784140969
58,Northwestern,1,3,7,0.6650887574,0.8206278027,0.3200958576,0.760227677,0.2012987013,0.3873239437,0.6346153846,0.4464285714,0.7003484321,0.6039426523,0.45625,0.4615384615,0.2771084337,0.2986111111,0.6312056738,0.4,0.8791208791,0.6355932203,0.868101029,0.5632911392,0.584,0.3618090452,0.6651982379
59,Arkansas,2,3,8,0.6059171598,0.8695474929,0.5515234509,0.5852009961,0.6493506494,0.3591549296,0.3413461538,0.5327380952,0.6724738676,0.6415770609,0.59375,0.5721153846,0.5662650602,0.5833333333,0.6595744681,0.72,0.5164835165,0.5338983051,0.5799812909,0.3924050633,0.352,0.5829145729,0.3832599119
60,Illinois,0,3,9,0.6284023669,0.7904606604,0.5597398151,0.6001422981,0.4935064935,0.3028169014,0.2932692308,0.556547619,0.6794425087,0.6594982079,0.675,0.6586538462,0.5421686747,0.5208333333,0.7163120567,0.6666666667,0.5604395604,0.4152542373,0.4733395697,0.3006329114,0.304,0.3969849246,0.6916299559
61,Boise State,0,3,10,0.749112426,0.7468406033,0.4768914755,0.6940590537,0.5194805195,0.6971830986,0.5576923077,0.5625,0.6968641115,0.6720430108,0.6375,0.3894230769,0.5903614458,0.6111111111,0.7304964539,0.5133333333,0.6703296703,0.3559322034,0.515434986,0.1962025316,0.32,0.3718592965,0.7753303965
62,Arizona St,0,3,11,0.6544378698,0.8206278027,0.4111605615,0.5738171469,0.2467532468,0.338028169,0.3365384615,0.380952381,0.6341463415,0.5304659498,0.4,0.5288461538,0.2951807229,0.2708333333,0.7234042553,0.66,0.6813186813,0.5169491525,0.6866230122,0.6234177215,0.48,0.3065326633,0.577092511
64,VCU,0,3,12,0.8213017751,0.5352629433,0.4532694283,0.7371042334,0.5844155844,0.5492957746,0.3894230769,0.4821428571,0.8083623693,0.6810035842,0.50625,0.4903846154,0.578313253,0.6180555556,0.6879432624,0.6333333333,0.3626373626,0.8220338983,0.7418147802,0.4873417722,0.288,0.7135678392,0.6784140969
65,Iona,0,3,13,0.8284023669,0.3383611904,0.618623759,0.6702241195,0.5584415584,0.661971831,0.5384615385,0.6755952381,0.7317073171,0.7580645161,0.53125,0.6442307692,0.5542168675,0.5625,0.7659574468,0.64,0.8351648352,0.5593220339,0.812909261,0.5126582278,0.656,0.3065326633,0.6431718062
66,GrandCanyon,0,3,14,0.700591716,0.519364044,0.5819924683,0.6051227321,0.5714285714,0.823943662,0.4663461538,0.7142857143,0.5505226481,0.688172043,0.63125,0.6057692308,0.7108433735,0.7430555556,0.7730496454,0.5066666667,0.5714285714,0.186440678,0.31898971,0.3639240506,0.352,0.5577889447,0.6211453744
67,UNC Ash.,0,3,15,0.8284023669,0.2604973502,0.57240671,0.5425115617,0.6623376623,0.8732394366,0.3605769231,0.5535714286,0.6167247387,0.6254480287,0.53125,0.375,0.7469879518,0.7777777778,0.7092198582,0.68,0.3186813187,0.3728813559,0.331150608,0.3987341772,0.248,0.6834170854,0.7841409692
68,Howard,0,3,16,0.6544378698,0.2429677945,0.5874700445,0.4233368908,0.5584415584,0.7816901408,0.4567307692,0.5089285714,0.5226480836,0.5501792115,0.60625,0.7548076923,0.6265060241,0.6458333333,0.475177305,0.8266666667,0.1428571429,0.6186440678,0.3732460243,0.582278481,0.248,0.4623115578,0.5374449339